Date : 2023-03-20 15:19:40
Directory : /Users/stai/Documents/dev/mimikami/packages
Total : 219 files,  4051 codes, 1151 comments, 1480 blanks, all 6682 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| web_scraping/linux/flutter                                                                                                                                                                                 |          2 |          8 |          9 |         11 |         28 |
| web_scraping/macos                                                                                                                                                                                         |          2 |         14 |          5 |          5 |         24 |
| web_scraping/macos/Flutter                                                                                                                                                                                 |          2 |         14 |          5 |          5 |         24 |
| web_scraping/macos/Flutter (Files)                                                                                                                                                                         |          1 |          4 |          3 |          4 |         11 |
| web_scraping/macos/Flutter/ephemeral                                                                                                                                                                       |          1 |         10 |          2 |          1 |         13 |
| web_scraping/test                                                                                                                                                                                          |          1 |          5 |          5 |          3 |         13 |
| web_scraping/windows                                                                                                                                                                                       |          2 |          8 |          9 |         11 |         28 |
| web_scraping/windows/flutter                                                                                                                                                                               |          2 |          8 |          9 |         11 |         28 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                   | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/stai/Documents/dev/mimikami/lib/design_layer_widget.dart                                                                                                                                            | Dart         |        -22 |          0 |         -4 |        -26 |
| /Users/stai/Documents/dev/mimikami/lib/main.dart                                                                                                                                                           | Dart         |        -13 |          0 |         -5 |        -18 |
| /Users/stai/Documents/dev/mimikami/lib/routing_layer_widget.dart                                                                                                                                           | Dart         |        -36 |        -10 |         -5 |        -51 |
| /Users/stai/Documents/dev/mimikami/packages/article/CHANGELOG.md                                                                                                                                           | Markdown     |          2 |          0 |          2 |          4 |
| /Users/stai/Documents/dev/mimikami/packages/article/README.md                                                                                                                                              | Markdown     |         17 |         12 |         11 |         40 |
| /Users/stai/Documents/dev/mimikami/packages/article/analysis_options.yaml                                                                                                                                  | YAML         |          5 |          2 |          4 |         11 |
| /Users/stai/Documents/dev/mimikami/packages/article/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java                                                                            | Java         |         25 |          3 |          4 |         32 |
| /Users/stai/Documents/dev/mimikami/packages/article/android/local.properties                                                                                                                               | Properties   |          2 |          0 |          0 |          2 |
| /Users/stai/Documents/dev/mimikami/packages/article/ios/Flutter/flutter_export_environment.sh                                                                                                              | Shell Script |         11 |          2 |          1 |         14 |
| /Users/stai/Documents/dev/mimikami/packages/article/ios/Runner/GeneratedPluginRegistrant.h                                                                                                                 | C++          |          9 |          4 |          7 |         20 |
| /Users/stai/Documents/dev/mimikami/packages/article/ios/Runner/GeneratedPluginRegistrant.m                                                                                                                 | Objective-C  |         29 |          4 |         10 |         43 |
| /Users/stai/Documents/dev/mimikami/packages/article/lib/article.dart                                                                                                                                       | Dart         |          3 |          0 |          2 |          5 |
| /Users/stai/Documents/dev/mimikami/packages/article/lib/src/article_detail_page.dart                                                                                                                       | Dart         |         32 |          5 |          7 |         44 |
| /Users/stai/Documents/dev/mimikami/packages/article/lib/src/article_list_widget.dart                                                                                                                       | Dart         |         99 |         17 |         18 |        134 |
| /Users/stai/Documents/dev/mimikami/packages/article/lib/src/article_page.dart                                                                                                                              | Dart         |         75 |         27 |         18 |        120 |
| /Users/stai/Documents/dev/mimikami/packages/article/lib/src/article_repository.dart                                                                                                                        | Dart         |         53 |          2 |         13 |         68 |
| /Users/stai/Documents/dev/mimikami/packages/article/lib/src/article_state.dart                                                                                                                             | Dart         |         26 |          5 |          5 |         36 |
| /Users/stai/Documents/dev/mimikami/packages/article/lib/src/article_state_list.dart                                                                                                                        | Dart         |         60 |         23 |         16 |         99 |
| /Users/stai/Documents/dev/mimikami/packages/article/lib/src/get_all_article_usecase.dart                                                                                                                   | Dart         |         11 |          0 |          4 |         15 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/CHANGELOG.md                                                                              | Markdown     |         52 |          0 |         44 |         96 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/README.md                                                                                 | Markdown     |         10 |          0 |          6 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/README.md                                                                         | Markdown     |          7 |          0 |          3 |         10 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/integration_test/path_provider_test.dart                                          | Dart         |         46 |          5 |         10 |         61 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/lib/main.dart                                                                     | Dart         |         78 |         10 |         12 |        100 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/main.cc                                                                     | C++          |          6 |          6 |          4 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/my_application.cc                                                           | C++          |         32 |          4 |         14 |         50 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/my_application.h                                                            | C++          |          7 |         10 |          6 |         23 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/pubspec.yaml                                                                      | YAML         |         20 |          5 |          6 |         31 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/test_driver/integration_test.dart                                                 | Dart         |          2 |          3 |          3 |          8 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/path_provider_linux.dart                                                              | Dart         |          1 |          3 |          2 |          6 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id.dart                                                           | Dart         |          2 |          6 |          2 |         10 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_real.dart                                                      | Dart         |         55 |         12 |         12 |         79 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_stub.dart                                                      | Dart         |          1 |          4 |          2 |          7 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/path_provider_linux.dart                                                          | Dart         |         62 |         15 |         16 |         93 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/pubspec.yaml                                                                              | YAML         |         24 |          0 |          5 |         29 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/get_application_id_test.dart                                                         | Dart         |         47 |          3 |         13 |         63 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/path_provider_linux_test.dart                                                        | Dart         |         51 |          4 |         10 |         65 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/CHANGELOG.md                                                                             | Markdown     |         52 |          0 |         46 |         98 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/README.md                                                                                | Markdown     |         42 |          0 |         16 |         58 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/build.gradle                                                                     | Gradle       |         25 |          0 |          7 |         32 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle.properties                                                                | Properties   |          3 |          0 |          1 |          4 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle/wrapper/gradle-wrapper.properties                                         | Properties   |          5 |          0 |          1 |          6 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/settings.gradle                                                                  | Gradle       |          1 |          0 |          1 |          2 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/AndroidManifest.xml                                                     | XML          |          3 |          0 |          1 |          4 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu/simonbinder/sqlite3_flutter_libs/Sqlite3FlutterLibsPlugin.java  | Java         |         31 |          5 |          9 |         45 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/example/README.md                                                                        | Markdown     |          1 |          0 |          0 |          1 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/example/pubspec.yaml                                                                     | YAML         |         16 |         42 |         14 |         72 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/Classes/Sqlite3FlutterLibsPlugin.h                                                   | C++          |          3 |          0 |          2 |          5 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/Classes/Sqlite3FlutterLibsPlugin.m                                                   | Objective-C  |          5 |          0 |          3 |          8 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/sqlite3_flutter_libs.podspec                                                         | Ruby         |         21 |          5 |          4 |         30 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/lib/sqlite3_flutter_libs.dart                                                            | Dart         |         14 |         17 |          7 |         38 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/include/sqlite3_flutter_libs/sqlite3_flutter_libs_plugin.h                         | C++          |         18 |          0 |          9 |         27 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/sqlite3_flutter_libs_plugin.cc                                                     | C++          |          4 |          0 |          4 |          8 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/Classes/Sqlite3FlutterLibsPlugin.h                                                 | C++          |          3 |          0 |          2 |          5 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/Classes/Sqlite3FlutterLibsPlugin.m                                                 | Objective-C  |          5 |          0 |          3 |          8 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/sqlite3_flutter_libs.podspec                                                       | Ruby         |         19 |          4 |          2 |         25 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/pubspec.yaml                                                                             | YAML         |         25 |          0 |          4 |         29 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/include/sqlite3_flutter_libs/sqlite3_flutter_libs_plugin.h                       | C++          |         17 |          0 |          7 |         24 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/sqlite3_flutter.c                                                                | C            |          2 |          0 |          1 |          3 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/sqlite3_flutter_libs_plugin.cpp                                                  | C++          |          4 |          0 |          3 |          7 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/generated_plugin_registrant.cc                                                                                                           | C++          |          3 |          4 |          5 |         12 |
| /Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/generated_plugin_registrant.h                                                                                                            | C++          |          5 |          5 |          6 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/article/macos/Flutter/GeneratedPluginRegistrant.swift                                                                                                          | Swift        |          6 |          3 |          4 |         13 |
| /Users/stai/Documents/dev/mimikami/packages/article/macos/Flutter/ephemeral/flutter_export_environment.sh                                                                                                  | Shell Script |         10 |          2 |          1 |         13 |
| /Users/stai/Documents/dev/mimikami/packages/article/pubspec.yaml                                                                                                                                           | YAML         |         38 |         32 |         14 |         84 |
| /Users/stai/Documents/dev/mimikami/packages/article/test/article_test.dart                                                                                                                                 | Dart         |          5 |          5 |          3 |         13 |
| /Users/stai/Documents/dev/mimikami/packages/article/windows/flutter/generated_plugin_registrant.cc                                                                                                         | C++          |          3 |          4 |          5 |         12 |
| /Users/stai/Documents/dev/mimikami/packages/article/windows/flutter/generated_plugin_registrant.h                                                                                                          | C++          |          5 |          5 |          6 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/common/CHANGELOG.md                                                                                                                                            | Markdown     |          2 |          0 |          2 |          4 |
| /Users/stai/Documents/dev/mimikami/packages/common/README.md                                                                                                                                               | Markdown     |         17 |         12 |         11 |         40 |
| /Users/stai/Documents/dev/mimikami/packages/common/analysis_options.yaml                                                                                                                                   | YAML         |          1 |          2 |          2 |          5 |
| /Users/stai/Documents/dev/mimikami/packages/common/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java                                                                             | Java         |         17 |          3 |          4 |         24 |
| /Users/stai/Documents/dev/mimikami/packages/common/android/local.properties                                                                                                                                | Properties   |          2 |          0 |          0 |          2 |
| /Users/stai/Documents/dev/mimikami/packages/common/ios/Flutter/flutter_export_environment.sh                                                                                                               | Shell Script |         11 |          2 |          1 |         14 |
| /Users/stai/Documents/dev/mimikami/packages/common/ios/Runner/GeneratedPluginRegistrant.h                                                                                                                  | C++          |          9 |          4 |          7 |         20 |
| /Users/stai/Documents/dev/mimikami/packages/common/ios/Runner/GeneratedPluginRegistrant.m                                                                                                                  | Objective-C  |          5 |          4 |          6 |         15 |
| /Users/stai/Documents/dev/mimikami/packages/common/lib/common.dart                                                                                                                                         | Dart         |          3 |          0 |          2 |          5 |
| /Users/stai/Documents/dev/mimikami/packages/common/lib/src/logger.dart                                                                                                                                     | Dart         |          7 |          6 |          3 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/common/lib/src/vibration_widget.dart                                                                                                                           | Dart         |         36 |         47 |         17 |        100 |
| /Users/stai/Documents/dev/mimikami/packages/common/linux/flutter/generated_plugin_registrant.cc                                                                                                            | C++          |          3 |          4 |          5 |         12 |
| /Users/stai/Documents/dev/mimikami/packages/common/linux/flutter/generated_plugin_registrant.h                                                                                                             | C++          |          5 |          5 |          6 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/common/macos/Flutter/GeneratedPluginRegistrant.swift                                                                                                           | Swift        |          4 |          3 |          4 |         11 |
| /Users/stai/Documents/dev/mimikami/packages/common/macos/Flutter/ephemeral/flutter_export_environment.sh                                                                                                   | Shell Script |         10 |          2 |          1 |         13 |
| /Users/stai/Documents/dev/mimikami/packages/common/pubspec.yaml                                                                                                                                            | YAML         |         18 |         32 |          8 |         58 |
| /Users/stai/Documents/dev/mimikami/packages/common/test/common_test.dart                                                                                                                                   | Dart         |          5 |          5 |          3 |         13 |
| /Users/stai/Documents/dev/mimikami/packages/common/windows/flutter/generated_plugin_registrant.cc                                                                                                          | C++          |          3 |          4 |          5 |         12 |
| /Users/stai/Documents/dev/mimikami/packages/common/windows/flutter/generated_plugin_registrant.h                                                                                                           | C++          |          5 |          5 |          6 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/CHANGELOG.md                                                                                                                                          | Markdown     |          2 |          0 |          2 |          4 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/README.md                                                                                                                                             | Markdown     |         17 |         12 |         11 |         40 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/analysis_options.yaml                                                                                                                                 | YAML         |          4 |          4 |          3 |         11 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java                                                                           | Java         |         17 |          3 |          4 |         24 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/android/local.properties                                                                                                                              | Properties   |          2 |          0 |          0 |          2 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/build.yaml                                                                                                                                            | YAML         |          8 |          0 |          1 |          9 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/ios/Flutter/flutter_export_environment.sh                                                                                                             | Shell Script |         11 |          2 |          1 |         14 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/ios/Runner/GeneratedPluginRegistrant.h                                                                                                                | C++          |          9 |          4 |          7 |         20 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/ios/Runner/GeneratedPluginRegistrant.m                                                                                                                | Objective-C  |          5 |          4 |          6 |         15 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/lib/local_db.dart                                                                                                                                     | Dart         |          3 |          0 |          2 |          5 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/lib/src/articles.dart                                                                                                                                 | Dart         |          8 |          0 |          2 |         10 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/lib/src/database.dart                                                                                                                                 | Dart         |         29 |         14 |         10 |         53 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/lib/src/local_db_drift.dart                                                                                                                           | Dart         |         10 |          0 |          4 |         14 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/CHANGELOG.md                                                                             | Markdown     |         52 |          0 |         44 |         96 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/README.md                                                                                | Markdown     |         10 |          0 |          6 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/README.md                                                                        | Markdown     |          7 |          0 |          3 |         10 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/integration_test/path_provider_test.dart                                         | Dart         |         46 |          5 |         10 |         61 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/lib/main.dart                                                                    | Dart         |         78 |         10 |         12 |        100 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/main.cc                                                                    | C++          |          6 |          6 |          4 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/my_application.cc                                                          | C++          |         32 |          4 |         14 |         50 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/my_application.h                                                           | C++          |          7 |         10 |          6 |         23 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/pubspec.yaml                                                                     | YAML         |         20 |          5 |          6 |         31 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/test_driver/integration_test.dart                                                | Dart         |          2 |          3 |          3 |          8 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/path_provider_linux.dart                                                             | Dart         |          1 |          3 |          2 |          6 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id.dart                                                          | Dart         |          2 |          6 |          2 |         10 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_real.dart                                                     | Dart         |         55 |         12 |         12 |         79 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_stub.dart                                                     | Dart         |          1 |          4 |          2 |          7 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/path_provider_linux.dart                                                         | Dart         |         62 |         15 |         16 |         93 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/pubspec.yaml                                                                             | YAML         |         24 |          0 |          5 |         29 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/get_application_id_test.dart                                                        | Dart         |         47 |          3 |         13 |         63 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/path_provider_linux_test.dart                                                       | Dart         |         51 |          4 |         10 |         65 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/CHANGELOG.md                                                                            | Markdown     |         52 |          0 |         46 |         98 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/README.md                                                                               | Markdown     |         42 |          0 |         16 |         58 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/build.gradle                                                                    | Gradle       |         25 |          0 |          7 |         32 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle.properties                                                               | Properties   |          3 |          0 |          1 |          4 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle/wrapper/gradle-wrapper.properties                                        | Properties   |          5 |          0 |          1 |          6 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/settings.gradle                                                                 | Gradle       |          1 |          0 |          1 |          2 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/AndroidManifest.xml                                                    | XML          |          3 |          0 |          1 |          4 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu/simonbinder/sqlite3_flutter_libs/Sqlite3FlutterLibsPlugin.java | Java         |         31 |          5 |          9 |         45 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/example/README.md                                                                       | Markdown     |          1 |          0 |          0 |          1 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/example/pubspec.yaml                                                                    | YAML         |         16 |         42 |         14 |         72 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/Classes/Sqlite3FlutterLibsPlugin.h                                                  | C++          |          3 |          0 |          2 |          5 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/Classes/Sqlite3FlutterLibsPlugin.m                                                  | Objective-C  |          5 |          0 |          3 |          8 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/sqlite3_flutter_libs.podspec                                                        | Ruby         |         21 |          5 |          4 |         30 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/lib/sqlite3_flutter_libs.dart                                                           | Dart         |         14 |         17 |          7 |         38 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/include/sqlite3_flutter_libs/sqlite3_flutter_libs_plugin.h                        | C++          |         18 |          0 |          9 |         27 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/sqlite3_flutter_libs_plugin.cc                                                    | C++          |          4 |          0 |          4 |          8 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/Classes/Sqlite3FlutterLibsPlugin.h                                                | C++          |          3 |          0 |          2 |          5 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/Classes/Sqlite3FlutterLibsPlugin.m                                                | Objective-C  |          5 |          0 |          3 |          8 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/sqlite3_flutter_libs.podspec                                                      | Ruby         |         19 |          4 |          2 |         25 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/pubspec.yaml                                                                            | YAML         |         25 |          0 |          4 |         29 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/include/sqlite3_flutter_libs/sqlite3_flutter_libs_plugin.h                      | C++          |         17 |          0 |          7 |         24 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/sqlite3_flutter.c                                                               | C            |          2 |          0 |          1 |          3 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/sqlite3_flutter_libs_plugin.cpp                                                 | C++          |          4 |          0 |          3 |          7 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/generated_plugin_registrant.cc                                                                                                          | C++          |          3 |          4 |          5 |         12 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/linux/flutter/generated_plugin_registrant.h                                                                                                           | C++          |          5 |          5 |          6 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/macos/Flutter/GeneratedPluginRegistrant.swift                                                                                                         | Swift        |          4 |          3 |          4 |         11 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/macos/Flutter/ephemeral/flutter_export_environment.sh                                                                                                 | Shell Script |         10 |          2 |          1 |         13 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/pubspec.yaml                                                                                                                                          | YAML         |         31 |         32 |          9 |         72 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/test/database.dart                                                                                                                                    | Dart         |         21 |          2 |          8 |         31 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/test/database_test.dart                                                                                                                               | Dart         |         22 |          3 |          8 |         33 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/test/local_db_test.dart                                                                                                                               | Dart         |          5 |          6 |          5 |         16 |
| /Users/stai/Documents/dev/mimikami/packages/local_db/windows/flutter/generated_plugin_registrant.cc                                                                                                        | C++          |          3 |          4 |          5 |         12 |
